Model,R_V1,R_V2,R_V4,R_IT
AlexNet,0.4353397,0.441753225,0.392452829,0.210133126
coat_lite_mini,0.427665475,0.434844786,0.384606031,0.22054962
cornet_s,0.445676645,0.45421879,0.402060963,0.225110986
cornet_z,0.437661325,0.438228266,0.373649074,0.208756726
deit_base_patch16_224,0.432424939,0.436115781,0.392254383,0.224608154
Densenet121,0.450286422,0.453405476,0.401442656,0.226025875
Densenet161,0.453523069,0.460167949,0.407490025,0.226489694
Densenet169,0.456760348,0.461790284,0.400873275,0.228206133
Densenet201,0.457173404,0.454571815,0.404567246,0.22943813
dm_nfnet_f0,0.454530753,0.456062178,0.405811173,0.228117351
efficientnet_b0,0.446439782,0.442327731,0.387624608,0.219858861
efficientnet_b1,0.441979814,0.450987531,0.409766662,0.23057722
efficientnet_b2,0.443412238,0.442199062,0.391920511,0.212941741
efficientnet_b3,0.449195807,0.45609536,0.407221974,0.224780786
efficientnet_b4,0.449200911,0.453980586,0.403669876,0.222570936
efficientnet_b5,0.446789845,0.447538206,0.399675527,0.23123978
gluon_resnet50_v1c,0.449891929,0.452254061,0.403278801,0.224142718
gluon_resnext101_64x4d,0.453409559,0.458525749,0.403530175,0.228549316
GoogleNet,0.448884661,0.454238231,0.398424941,0.2225623
inception_resnet_v2,0.450239858,0.451807771,0.413509502,0.234766187
inception_v3,0.447624927,0.451124672,0.404424998,0.223255214
mixer_b16_224,0.437318674,0.437317726,0.392622965,0.224038058
mnasnet05,0.439286535,0.440356774,0.385889732,0.21458488
mnasnet10,0.446401761,0.445620171,0.401180353,0.224074872
mobilenet_v2,0.445687312,0.445852603,0.392074565,0.219528397
mobilenet_v3_large,0.439831141,0.442968783,0.401893267,0.224217638
mobilenet_v3_small,0.43948102,0.438539893,0.389357535,0.225400444
nfnet_l0,0.450620264,0.45157217,0.399239444,0.221204676
regnety_032,0.448655932,0.455301718,0.408933463,0.229631162
regnety_080,0.451505306,0.456149419,0.399803153,0.220661826
ResNet101,0.453032872,0.45791232,0.40646967,0.224533932
ResNet152,0.453414327,0.461756876,0.410615853,0.229428568
ResNet18,0.443032913,0.445176885,0.392149173,0.21572424
ResNet34,0.446687053,0.451293471,0.396201911,0.218570856
ResNet50,0.449130916,0.454628769,0.399425934,0.224524903
resnext101_32x8d,0.451919019,0.46063821,0.398549291,0.222305117
resnext50_32x4d,0.450876122,0.456525001,0.393443232,0.21261254
seresnet50,0.450569117,0.456166052,0.394733437,0.219223146
ShuffleNetV2x05,0.438494726,0.439188746,0.38704325,0.224447553
ShuffleNetV2x10,0.443689009,0.446085337,0.399907546,0.232274476
Squeezenet1_0,0.450147129,0.449197351,0.39631802,0.218638931
Squeezenet1_1,0.44981425,0.453207585,0.394106994,0.211718671
swin_base_patch4_window7_224,0.42383848,0.427484211,0.39330163,0.225279013
tf_efficientnet_b2_ns,0.449878968,0.457330892,0.403226968,0.225473535
tf_efficientnet_b4_ns,0.445847007,0.45179168,0.398908301,0.217670362
VGG11,0.450929177,0.45417183,0.394501232,0.216802239
VGG11_bn,0.442438117,0.446224929,0.390686139,0.217981889
VGG13,0.443905033,0.448172744,0.392629878,0.216551408
VGG13_bn,0.445722419,0.445770077,0.38452163,0.206227718
VGG16,0.448979552,0.452486663,0.397557775,0.211594814
VGG16_bn,0.446634331,0.454038689,0.392880757,0.21791217
VGG19,0.449422288,0.454924462,0.400569142,0.213857191
VGG19_bn,0.445611758,0.452609048,0.395925963,0.21794463
vit_base_patch16_224,0.433254934,0.440979913,0.386718,0.222095299
vit_large_patch16_224,0.432702752,0.438631255,0.390196597,0.226924543
wide_resnet50_2,0.448658473,0.454100084,0.399156692,0.219670519
xception,0.452205128,0.453064143,0.399447247,0.224111691
efficientnet_b3.ra2_in1k,0.447725502,0.45302626,0.405944275,0.233692784
beit_base_patch16_224.in22k_ft_in22k_in1k,0.40215046,0.40225986,0.364945999,0.206062185
gmlp_s16_224.ra3_in1k,0.41355845,0.417127816,0.38387774,0.216619167
convnext_base.fb_in22k_ft_in1k,0.442075604,0.442912858,0.394387223,0.230404145
cornet_rt,0.43371367,0.435748829,0.372232206,0.207812547
convit_small,0.416901668,0.42309067,0.382704712,0.218045635
mobilenetv3_large_100.miil_in21k_ft_in1k,0.420853998,0.420421014,0.36268058,0.195463337
mixer_b16_224.goog_in21k_ft_in1k,0.42515906,0.432167203,0.383834802,0.213329718
resnetv2_50x1_bit.goog_in21k_ft_in1k,0.447405362,0.453056687,0.399919746,0.226909722
mobilevit_s.cvnets_in1k,0.427580553,0.421381733,0.365186403,0.211093995
fastvit_t8.apple_dist_in1k,0.432373155,0.429186924,0.381531441,0.211183645
maxvit_nano_rw_256.sw_in1k,0.437117771,0.447958786,0.394258045,0.220972782
tf_efficientnetv2_s.in21k_ft_in1k,0.428865426,0.425686569,0.362432446,0.206652383
