Model,eff.Robustness,imagenet1k,imagenet-r
AlexNet,1.404108363,56.556,21.83666667
Densenet121,2.348038693,74.438,37.2
Densenet161,2.203173565,77.112,40.13
Densenet169,3.534095944,75.588,39.66666667
Densenet201,3.176647069,76.886,40.83
efficientnet_b0,-1.601859343,77.698,37.04666667
efficientnet_b1,-1.660968312,78.624,38.16666667
GoogleNet,5.985117662,69.772,36.19333333
mnasnet05,-1.109906619,67.75,27.32
mnasnet10,-1.506962509,73.468,32.31
mobilenet_v2,-1.175040944,71.87,31.02
mobilenet_v3_large,0.285880362,74.054,34.72333333
mobilenet_v3_small,1.046274063,67.668,29.40666667
ResNet101,1.059281027,77.366,39.29666667
ResNet152,1.899196008,78.314,41.32666667
ResNet18,2.836050336,69.76,33.03333333
ResNet34,2.419555771,73.302,36.06333333
ResNet50,-0.619497606,76.146,36.15666667
ShuffleNetV2x05,2.107173281,60.552,25.09
ShuffleNetV2x10,0.394727483,69.356,30.22666667
Squeezenet1_0,1.271890399,58.096,22.65333333
Squeezenet1_1,1.393906223,58.188,22.83333333
VGG11,-2.943142362,69.04,26.60666667
VGG11_bn,-2.365036504,70.38,28.40333333
VGG13,-4.041768698,69.94,26.32
VGG13_bn,-2.925838625,71.554,28.96
VGG16,-3.940317072,71.586,27.97666667
VGG16_bn,-3.334584801,73.37,30.38
VGG19,-4.022636464,72.394,28.69333333
VGG19_bn,-1.329593863,74.242,33.31
